NO,Student ID,affective,lab,project,midterm,final
1,632110233,6.43,10,20,6.75,4
2,642110198,10,10,20,2.25,2.75
3,652110066,10,10,12,10.38,10.5
4,662110002,10,10,19,8.63,13
5,662110003,7.14,6.92,W,9,W
6,662110004,10,10,14,11,10.25
7,662110006,10,10,20,6.63,8.5
8,662110008,7.14,6.92,W,8.75,W
9,662110010,10,10,19,11.5,13.5
10,662110018,10,10,19,10.63,10.75
11,662110021,9.29,10,14,5.63,5.5
12,662110022,5.71,4.62,W,6,W
13,662110023,10,10,20,4,7.75
14,662110024,5.71,4.62,W,5,W
15,662110025,7.14,6.92,W,7.38,W
16,662110026,10,10,20,16.38,16.75
17,662110030,10,10,20,4,3.75
18,662110040,10,10,19,6.75,8.25
19,662110043,9.29,10,19,9.88,9.5
20,662110050,10,10,20,4,3
21,662110056,9.29,9.23,18,11.63,9
22,662110060,10,10,20,14,14.75
23,662110064,10,10,19,5.63,7.75
24,662110066,10,10,20,11.75,15.5
25,662110067,7.14,6.15,W,9.38,W
26,662110069,7.14,6.15,W,6,W
27,662110075,8.57,8.46,14,4.25,3
28,662110079,10,10,18,13.25,10
29,662110090,8.57,8.46,14,2.25,1.75
30,662110093,10,10,20,8.38,4.5
31,662110095,10,10,20,10.75,7
32,662110096,7.14,6.92,W,6.5,W
33,662110103,10,10,20,19.25,21.75
34,662110105,9.29,10,20,8.13,9
35,662110107,10,10,20,12.13,12.5
36,662110113,10,10,19,11.88,11
